Auntie Anne's, Pretzels, 9323 Mall Road, 304-983-6175, $$, No Services.
Great American Cookies, Desserts, 9505 Mall Road, 304-983-2638, $, No Services.
Wong's Wok, Chinese, 9409 Mall Road, 304-983-6815, $$$, No Services.
Chick-fil-A, Fast Food, 9415 Mall Road, 304-983-6780, $$, Grubhub.
Bob Evans, Comfort Food, 10 Lawless Road, 304 296 6356, $$$, Grubhub.
Subway, Sandwiches, 9405 Mall Road, 304-983-2387, $$, Grubhub.
Taco Bell, Fast Food, 7 Commerce Drive, 304-291,6071, $, Grubhub.
Blaze Pizza, Pizza, 525 Granville Square, 304-607-2122, $$$, Blaze Pizza.
Wendy's, Fast Food, 101 Sesame Drive, 304-599-5895, $$, Grubhub.
Panda Express, Chinese, 100 Sesame Drive, 304-599-6939, $$ Grubhub.
Fusion Japanese Steakhouse, Japanese, 201 Fusion Street, 304-554-2328, $$$, Grubhub.
Los Mariachis, Mexican, 9105 University Town Center Drive, 304-599-6187,$$$, Doordash.
Buffalo Wild Wings, Bar, 8735 University Town Center Drive, 304-554-2150, $$$, Grubhub.
Pizza Al's, Pizza,  192 Jim Street, 304-599-9555, $$$, Pizza Al's.
Sweet Frog, Dessert, 965 Target Way, 304-288-2454, $$, No Services.
Cicis Pizza, Pizza, 4081 University Town Center Drive, 304-599-8399, $$, No Services.
Cheddar's, Comfort Food, 2111 University Town Center Drive, 304-598-3233, $$$, No Services.
Cracker Barrel, Comfort Food, 345 Lewis Drive, 305-598-5651, $$, Doordash.
Red Lobster, Seafood, 1512  University Town Center Drive, 304-598-2201, $$$, Grubhub.
Olive Garden, Italian, 1340  University Town Center Drive, 304-599-8611, $$$, No Services.
Longhorn Steakhouse, Grill, 1427  University Town Center Drive, 304-599-2100, $$$,  No Services.
Chili's, Tex-Mex, 1001  University Town Center Drive, 304-599-2823, $$$, Doordash.
Chipotle, Mexican, 17 Chaplin Road, 304-599-4519, $$$, Doordash.
McDonald's, Fast Food, 11 Chaplin Road, 304-598-3812, $, Grubhub.
Golden Corral, Comfort Food, 3515 Monongahela Blvd, 304-599-3825, $$$, No Services.
Texas Roadhouse, Grill, 3505 Monongahela Blvd, 304-598-0109, $$$, No Services.
Star City Hotdogs, Hotdogs, 3417 University Avenue, 304-599-5199, $$, No Services.
Crockett's Lodge, Grill, 3395 University Avenue, 304-598-2337, $$$, No Services.
Terra Cafe, Sandwiches, 425 Industrial Avenue, 304-554-2233, $$$, No Services.
Black Bear Burritos, Mexican, 3119 University Avenue, 304-296-8696, $$$, No Services.
Mario's Fishbowl, Seafood, 3117 University Avenue, 304-599-4309, $$$, No Services.
Tudor's Biscuit World, Comfort Food, 3071A University Avenue, 304-241-1702, $$, Grubhub.
Panera Bread, Sandwiches, 357 Patterson Drive, 304-598-3901, $$, Grubhub.
Taco Bell, Fast Food, 347 Patterson Drive, 304-599-1425, $, Grubhub.
Wendy's, Fast Food, 351 Patterson Drive, 304-598-3793, $$, Grubhub.
Chik-fil-A, Fast Food, 334 Patterson Drive, 304-599-1840, $$, No Services.
Arby's, Fast Food, 331 Patterson Drive, 304-598-2729, $$, No Services.
Burger King, Fast Food, 340 Patterson Drive, 304-244-2722, $, No Services.
Qdoba, Mexican, 386 Patterson Drive, 304-598-5555, $$$, Doordash.
Eat'n Park, Comfort Food, 353 Patterson Drive, 304-598-0020, $$, No Services.
Pizza Hut, Pizza, 374 Patterson Drive, 304-598-3700, $$$, Pizza Hut.
Boston Beanery, Tavern, 383 Patterson Drive, 304-599-1870, $$$, Dubveatz.
Applebee's, Comfort Food,  1065 Van Voorhis Road, 304-599-3733, $$$, Grubhub.
Starbucks, Cafe, 1109 Van Voorhis Road, 304-599-2740, $$, Doordash.
Peking House, Chinese, 1125 Van Voorhis Road, 304-598-3333, $$$, Grubhub.
Los Mariachis, Mexican, 1137 Van Voorhis Road, 304-598-3715, $$$, Doordash.
Domino's, Pizza, 1159 Van Voorhis Road, 304-241-5545, $$$, Domino's.
Dunkin Donuts, Breakfast, 725 Chestnut Ridge Road, 304-241-1386, $, No Services.
Wings Ole, Mexican,  725 Chestnut Ridge Road, 304-598-3010, $$, No Services.
Stefano's, Italian, 735 Chestnut Ridge Road, 304-581-6930, $$$, No Services.
Kegler's, Bar, 735 Chestnut Ridge Road, 304-598-9698, $$, No Services.
Tutto Gelato Cafe, Cafe, 755 Chestnut Ridge Road, 304-291-2444, $$$, Grubhub.
Saigon Pho Kitchen, Vietnamese, 3109 University Avenue, 304-241-1814, $$$, Grubhub.
Fox's Pizza Den, Pizza, 3109 University Avenue, 304-598-3697, $$$, Fox's Pizza Den.
